Table S2: Log2 LFQ data of proteomes of liver and tumor cells. Related to Figure 2.					
					Group
Q8N6T3	ADP-ribosylation factor GTPase-activating protein 1	ARFGAP1	Q8N6T3;Q8N6T3-3;Q8N6T3-2;E5RHC5;F8W1U7;Q8N6T3-5;E5RHT6;F8VWH9;Q8N6T3-4;F8VWB3;E5RGL6;E5RIU2;E5RHH7	ADP-ribosylation factor GTPase-activating protein 1	ARFGAP1
Q8N6Y2	Leucine-rich repeat-containing protein 17	LRRC17	Q8N6Y2;Q8N6Y2-2;C9JT74	Leucine-rich repeat-containing protein 17	LRRC17
Q8N766-2	ER membrane protein complex subunit 1	EMC1	Q8N766-2;Q8N766;Q8N766-3;Q8N766-4;A0A286YEW0;Q5TG59;H7C4E3;H7C5A2	ER membrane protein complex subunit 1	EMC1
Q8N7H5-3	RNA polymerase II-associated factor 1 homolog	PAF1	Q8N7H5-3;Q8N7H5-2;Q8N7H5;B4DGJ5	RNA polymerase II-associated factor 1 homolog	PAF1
Q8N7X0	Androglobin	ADGB	Q8N7X0;H0Y334;Q8N7X0-2;H0Y333;E5RFN4;E5RGD1;H0YBE5	Androglobin	ADGB
Q8N8A2	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B	ANKRD44	Q8N8A2;A0A2R8Y7Y4;Q8N8A2-2;Q8N8A2-4;H7C209;Q8N8A2-3;H7C4A0;Q8N8A2-5;C9JY51	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B	ANKRD44
Q8N8A6	ATP-dependent RNA helicase DDX51	DDX51	Q8N8A6	ATP-dependent RNA helicase DDX51	DDX51
Q8N8N7	Prostaglandin reductase 2	PTGR2	Q8N8N7;G3V3Y1;G3V2R9;Q8N8N7-2	Prostaglandin reductase 2	PTGR2
Q8N8V2	Guanylate-binding protein 7	GBP7	Q8N8V2;A0A3B3IRS3	Guanylate-binding protein 7	GBP7
Q8N8Y2	V-type proton ATPase subunit d 2	ATP6V0D2	Q8N8Y2	V-type proton ATPase subunit d 2	ATP6V0D2
Q8N954-2	G patch domain-containing protein 11	GPATCH11	Q8N954-2;Q8N954	G patch domain-containing protein 11	GPATCH11
Q8N999-3	Uncharacterized protein C12orf29	C12orf29	Q8N999-3;Q8N999	Uncharacterized protein C12orf29	C12orf29
Q8N9F7	Glycerophosphodiester phosphodiesterase domain-containing protein 1	GDPD1	Q8N9F7;Q8N9F7-2;J3QQN7;Q8N9F7-3;J3QRR6;J3KTA9	Glycerophosphodiester phosphodiesterase domain-containing protein 1	GDPD1
Q8N9L9	Acyl-coenzyme A thioesterase 4	ACOT4	Q8N9L9	Acyl-coenzyme A thioesterase 4	ACOT4
Q8N9N2-2	Activating signal cointegrator 1 complex subunit 1	ASCC1	Q8N9N2-2;Q8N9N2;H0YCB3;H0YE76;E9PM82;E9PR40;H0YER2;E9PQZ6;E9PKM6;E9PQ44;E9PJM2;E9PL92	Activating signal cointegrator 1 complex subunit 1	ASCC1
Q8NAF0	Zinc finger protein 579	ZNF579	Q8NAF0	Zinc finger protein 579	ZNF579
Q8NAT1	Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2	POMGNT2	Q8NAT1	Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2	POMGNT2
Q8NAV1	Pre-mRNA-splicing factor 38A	PRPF38A	Q8NAV1	Pre-mRNA-splicing factor 38A	PRPF38A
Q8NB16	Mixed lineage kinase domain-like protein	MLKL	Q8NB16;I3L4A6;I3L2T9;Q8NB16-2;I3L4Z5;I3L2U3	Mixed lineage kinase domain-like protein	MLKL
Q8NB37	Parkinson disease 7 domain-containing protein 1	PDDC1	Q8NB37;Q8NB37-2;H0YE25;H0YF25;E9PLI5;Q8NB37-3;H0YER3;E9PQD8;Q8NB37-4	Parkinson disease 7 domain-containing protein 1	PDDC1
Q8NBF2	NHL repeat-containing protein 2	NHLRC2	Q8NBF2;Q8NBF2-2	NHL repeat-containing protein 2	NHLRC2
Q8NBF6	Late secretory pathway protein AVL9 homolog	AVL9	Q8NBF6;B8ZZW5;Q8NBF6-2;H7C0I1;A0A1W2PRP5	Late secretory pathway protein AVL9 homolog	AVL9
Q8NBJ4-2	Golgi membrane protein 1	GOLM1	Q8NBJ4-2;Q8NBJ4;F8WAT9;C9JYM4;C9J941	Golgi membrane protein 1	GOLM1
Q8NBJ5	Procollagen galactosyltransferase 1	COLGALT1	Q8NBJ5;M0QX72;M0QYH0	Procollagen galactosyltransferase 1	COLGALT1
Q8NBK3-4	Sulfatase-modifying factor 1	SUMF1	Q8NBK3-4;Q8NBK3;E9PF05;F5GXA0;Q8NBK3-2;Q8NBK3-5;Q8NBK3-3	Sulfatase-modifying factor 1	SUMF1
Q8NBL1	Protein O-glucosyltransferase 1	POGLUT1	Q8NBL1;H7C5H0;F8WEW4;B4DVA9	Protein O-glucosyltransferase 1	POGLUT1
Q8NBM4	Ubiquitin-associated domain-containing protein 2	UBAC2	Q8NBM4;X6R5E5;Q8NBM4-4;Q8NBM4-3;Q8NBM4-2;Q5JUH4;Q8NBM4-5	Ubiquitin-associated domain-containing protein 2	UBAC2
Q8NBM8	Prenylcysteine oxidase-like	PCYOX1L	Q8NBM8;E7EVZ5;D6R9J0	Prenylcysteine oxidase-like	PCYOX1L
Q8NBN3	Transmembrane protein 87A	TMEM87A	Q8NBN3;Q8NBN3-3;Q8NBN3-2;H3BM87;H3BSZ0;H3BUZ1;H3BPJ4;H3BMU0	Transmembrane protein 87A	TMEM87A
Q8NBN7	Retinol dehydrogenase 13	RDH13	Q8NBN7;G8JLA1;Q8NBN7-2;K7EMY5;K7EQB5;K7ERV1	Retinol dehydrogenase 13	RDH13
Q8NBP0	Tetratricopeptide repeat protein 13	TTC13	Q8NBP0;Q8NBP0-2;H0YB10	Tetratricopeptide repeat protein 13	TTC13
Q8NBP7	Proprotein convertase subtilisin/kexin type 9	PCSK9	Q8NBP7;Q8NBP7-2	Proprotein convertase subtilisin/kexin type 9	PCSK9
Q8NBQ5	Estradiol 17-beta-dehydrogenase 11	HSD17B11	Q8NBQ5;D6RCD0	Estradiol 17-beta-dehydrogenase 11	HSD17B11
Q8NBQ7	Aquaporin-11	AQP11	Q8NBQ7	Aquaporin-11	AQP11
Q8NBS9	Thioredoxin domain-containing protein 5	TXNDC5	Q8NBS9;Q8NBS9-2	Thioredoxin domain-containing protein 5	TXNDC5
Q8NBU5	ATPase family AAA domain-containing protein 1	ATAD1	Q8NBU5;Q8NBU5-2	ATPase family AAA domain-containing protein 1	ATAD1
Q8NBX0	Saccharopine dehydrogenase-like oxidoreductase	SCCPDH	Q8NBX0	Saccharopine dehydrogenase-like oxidoreductase	SCCPDH
Q8NBZ7	UDP-glucuronic acid decarboxylase 1	UXS1	Q8NBZ7;Q8NBZ7-2;C9JW33;C9J3T9;C9JFU6;C9JCB7;C9JE50;Q8NBZ7-3	UDP-glucuronic acid decarboxylase 1	UXS1
Q8NC06-2	Acyl-CoA-binding domain-containing protein 4	ACBD4	Q8NC06-2;K7EM05;Q8NC06;Q8NC06-3;K7EMH4	Acyl-CoA-binding domain-containing protein 4	ACBD4
Q8NC44	Protein FAM134A	FAM134A	Q8NC44;F8WE68;F8WAL5;H7C3D5	Protein FAM134A	FAM134A
Q8NC51	Plasminogen activator inhibitor 1 RNA-binding protein	SERBP1	Q8NC51;Q8NC51-2	Plasminogen activator inhibitor 1 RNA-binding protein	SERBP1
Q8NC51-3	Plasminogen activator inhibitor 1 RNA-binding protein	SERBP1	Q8NC51-3;Q8NC51-4	Plasminogen activator inhibitor 1 RNA-binding protein	SERBP1
Q8NC56	LEM domain-containing protein 2	LEMD2	Q8NC56;H7C2Z0;Q8NC56-2;D6RBV0;H0Y9B7;D6R958;H0Y8H8	LEM domain-containing protein 2	LEMD2
Q8NC60	Nitric oxide-associated protein 1	NOA1	Q8NC60	Nitric oxide-associated protein 1	NOA1
Q8NCA5	Protein FAM98A	FAM98A	Q8NCA5;E9PH82;C9J3G8	Protein FAM98A	FAM98A
Q8NCC3	Group XV phospholipase A2	PLA2G15	Q8NCC3;H3BMU8;Q8NCC3-2;H3BM47;B4DPU0;B4DJW4;H3BPT3	Group XV phospholipase A2	PLA2G15
Q8NCE2-3	Myotubularin-related protein 14	MTMR14	Q8NCE2-3;Q8NCE2-2;Q8NCE2;B4DQK9;B4DJ23;F8WCC0;C9JSR1;C9JR61	Myotubularin-related protein 14	MTMR14
Q8NCG5	Carbohydrate sulfotransferase 4	CHST4	Q8NCG5;Q9GZX3	Carbohydrate sulfotransferase 4	CHST4
Q8NCH0	Carbohydrate sulfotransferase 14	CHST14	Q8NCH0;H0YN65	Carbohydrate sulfotransferase 14	CHST14
Q8NCN5	Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial	PDPR	Q8NCN5;A8MT40;H3BQG3;B7ZAR9;Q8NCN5-2;H3BV59;H3BU60	Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial	PDPR
Q8NCR9	Clarin-3	CLRN3	Q8NCR9;Q8NCR9-2	Clarin-3	CLRN3
Q8NCW5	NAD(P)H-hydrate epimerase	APOA1BP	Q8NCW5;Q8NCW5-2;Q5T3I4;Q5T3I3	NAD(P)H-hydrate epimerase	APOA1BP
Q8ND04	Protein SMG8	SMG8	Q8ND04;Q8ND04-2;Q8ND04-3;J3QKP6;J3KTD7	Protein SMG8	SMG8
Q8ND24	RING finger protein 214	RNF214	Q8ND24;E9PN76;Q8ND24-2;E9PRE9	RING finger protein 214	RNF214
Q8ND30	Liprin-beta-2	PPFIBP2	Q8ND30;Q8ND30-2;E9PMH3;E9PMN3;E9PK17;H0YDM0	Liprin-beta-2	PPFIBP2
Q8ND56-3	Protein LSM14 homolog A	LSM14A	Q8ND56-3;Q8ND56-2;Q8ND56;A0A140TA76;K7EMZ9;A0A0G2JQ95;A0A096LP11;I3L4Q1	Protein LSM14 homolog A	LSM14A
Q8ND71	GTPase IMAP family member 8	GIMAP8	Q8ND71	GTPase IMAP family member 8	GIMAP8
Q8ND76-2	Cyclin-Y	CCNY	Q8ND76-2;Q8ND76;Q8ND76-3;R4GNF3;R4GN48	Cyclin-Y	CCNY
Q8NDC0	MAPK-interacting and spindle-stabilizing protein-like	MAPK1IP1L	Q8NDC0	MAPK-interacting and spindle-stabilizing protein-like	MAPK1IP1L
Q8NDH3-5	Probable aminopeptidase NPEPL1	NPEPL1	Q8NDH3-5;Q8NDH3-4;Q8NDH3;Q8NDH3-2;Q8NDH3-3;H0YEP3	Probable aminopeptidase NPEPL1	NPEPL1
Q8NDI1-3	EH domain-binding protein 1	EHBP1	Q8NDI1-3;Q8NDI1-2;Q8NDI1;C9IYU2;B5MC86;C9JEP1;H7BZ98	EH domain-binding protein 1	EHBP1
Q8NDX1	PH and SEC7 domain-containing protein 4	PSD4	Q8NDX1;Q8NDX1-2;B8ZZZ5	PH and SEC7 domain-containing protein 4	PSD4
Q8NDX6	Zinc finger protein 740	ZNF740	Q8NDX6	Zinc finger protein 740	ZNF740
Q8NDZ4	Deleted in autism protein 1	C3orf58	Q8NDZ4;E7ET39;C9JY09;Q8NDZ4-2	Deleted in autism protein 1	C3orf58
Q8NE01-2	Metal transporter CNNM3	CNNM3	Q8NE01-2;Q8NE01-3;Q8NE01	Metal transporter CNNM3	CNNM3
Q8NE62	Choline dehydrogenase, mitochondrial	CHDH	Q8NE62;C9J7D8;C9JYW4	Choline dehydrogenase, mitochondrial	CHDH
Q8NE71	ATP-binding cassette sub-family F member 1	ABCF1	Q8NE71;Q8NE71-2;H0YGW7;Q5STZ8;A0A0G2JIC2;F5GYK6;H0Y412;A0A494C065	ATP-binding cassette sub-family F member 1	ABCF1
Q8NE86-3	Calcium uniporter protein, mitochondrial	MCU	Q8NE86-3;Q8NE86;Q8NE86-2;S4R468	Calcium uniporter protein, mitochondrial	MCU
Q8NEJ9-2	Neuroguidin	NGDN	Q8NEJ9-2;Q8NEJ9;H0YJ17;G3V4G1	Neuroguidin	NGDN
Q8NEN9	PDZ domain-containing protein 8	PDZD8	Q8NEN9	PDZ domain-containing protein 8	PDZD8
Q8NET6	Carbohydrate sulfotransferase 13	CHST13	Q8NET6;A0A087WU70;Q8NET6-2	Carbohydrate sulfotransferase 13	CHST13
Q8NEU8	DCC-interacting protein 13-beta	APPL2	Q8NEU8;Q8NEU8-3;Q8NEU8-2;H0YH86;F8VXB0;F8VWV2;F8VR68	DCC-interacting protein 13-beta	APPL2
Q8NEW0	Zinc transporter 7	SLC30A7	Q8NEW0;H0Y362	Zinc transporter 7	SLC30A7
Q8NEX9	Short-chain dehydrogenase/reductase family 9C member 7	SDR9C7	Q8NEX9	Short-chain dehydrogenase/reductase family 9C member 7	SDR9C7
Q8NEZ2	Vacuolar protein sorting-associated protein 37A	VPS37A	Q8NEZ2;H0YBN0;Q8NEZ2-2;E5RG91;Q8NEZ2-3	Vacuolar protein sorting-associated protein 37A	VPS37A
Q8NEZ5	F-box only protein 22	FBXO22	Q8NEZ5;H3BTH6;Q8NEZ5-3;H3BTR7;H3BVA4;H3BUC1;H3BRE0;Q8NEZ5-2	F-box only protein 22	FBXO22
Q8NF37	Lysophosphatidylcholine acyltransferase 1	LPCAT1	Q8NF37;A0A0G2JQ62;A0A0G2JRI7	Lysophosphatidylcholine acyltransferase 1	LPCAT1
Q8NF50-4	Dedicator of cytokinesis protein 8	DOCK8	Q8NF50-4;Q8NF50-3;Q8NF50-2;Q8NF50;A2A369;E9PDJ4;A2A370;C9J7A3;C9J613	Dedicator of cytokinesis protein 8	DOCK8
Q8NFA0	Ubiquitin carboxyl-terminal hydrolase 32	USP32	Q8NFA0;K7EQL6;K7EKZ1;Q8NFA0-2;P35125-3;P35125-2;P35125	Ubiquitin carboxyl-terminal hydrolase 32;Ubiquitin carboxyl-terminal hydrolase	USP32
Q8NFF5-2	FAD synthase	FLAD1	Q8NFF5-2;Q8NFF5;Q8NFF5-3;Q5T196;Q8NFF5-4;Q8NFF5-5;Q5T190;Q5T191	FAD synthase;Molybdenum cofactor biosynthesis protein-like region;FAD synthase region	FLAD1
Q8NFH3	Nucleoporin Nup43	NUP43	Q8NFH3;Q8NFH3-2;B4E301;F5H0E3;B4DVD1	Nucleoporin Nup43	NUP43
Q8NFH4	Nucleoporin Nup37	NUP37	Q8NFH4;F8VTY2;H0YHK8	Nucleoporin Nup37	NUP37
Q8NFH5-2	Nucleoporin NUP53	NUP35	Q8NFH5-2;Q8NFH5;Q8NFH5-3;C9IYQ7;F8WCF5;F8WEL4;C9JIY9;C9JWU7	Nucleoporin NUP53	NUP35
Q8NFH8-4	RalBP1-associated Eps domain-containing protein 2	REPS2	Q8NFH8-4;Q8NFH8;Q8NFH8-3;Q8NFH8-2	RalBP1-associated Eps domain-containing protein 2	REPS2
Q8NFI3	Cytosolic endo-beta-N-acetylglucosaminidase	ENGASE	Q8NFI3;F8W925;Q8NFI3-2;Q8NFI3-3;J3QLG5;J9JID0	Cytosolic endo-beta-N-acetylglucosaminidase	ENGASE
Q8NFQ8	Torsin-1A-interacting protein 2	TOR1AIP2	Q8NFQ8	Torsin-1A-interacting protein 2	TOR1AIP2
Q8NFU3	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1	TSTD1	Q8NFU3;Q8NFU3-4;R4GNF9;Q8NFU3-2;Q8NFU3-3	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1	TSTD1
Q8NFV4	Alpha/beta hydrolase domain-containing protein 11	ABHD11	Q8NFV4;Q8NFV4-4;Q8NFV4-6;C9J7Q4;H7BZ58;H7C396;Q8NFV4-5;H0YC52;Q8NFV4-3;Q8NFV4-2	Alpha/beta hydrolase domain-containing protein 11	ABHD11
Q8NFW8	N-acylneuraminate cytidylyltransferase	CMAS	Q8NFW8;Q8NFW8-2;F5GYM0;F5H296	N-acylneuraminate cytidylyltransferase	CMAS
Q8NFW9-2	Rab effector MyRIP	MYRIP	Q8NFW9-2;Q8NFW9;Q8NFW9-5;F8WFC5;Q8NFW9-3;Q8NFW9-4;Q8NFW9-6	Rab effector MyRIP	MYRIP
Q8NG68	Tubulin--tyrosine ligase	TTL	Q8NG68	Tubulin--tyrosine ligase	TTL
Q8NHG7	Small VCP/p97-interacting protein	SVIP	Q8NHG7	Small VCP/p97-interacting protein	SVIP
Q8NHG8	E3 ubiquitin-protein ligase ZNRF2	ZNRF2	Q8NHG8;J3KTB9;H3BUF0;H3BRB6;Q8ND25;Q8ND25-2	E3 ubiquitin-protein ligase ZNRF2	ZNRF2
Q8NHH9-5	Atlastin-2	ATL2	Q8NHH9-5;Q8NHH9;Q8NHH9-3;Q8NHH9-4;Q8NHH9-2;B5MCN0;C9JQQ5;H7C3A2;C9JC25	Atlastin-2	ATL2
Q8NHP6	Motile sperm domain-containing protein 2	MOSPD2	Q8NHP6;R4GMN1;Q8NHP6-2;R4GMW5	Motile sperm domain-containing protein 2	MOSPD2
Q8NHP8	Putative phospholipase B-like 2	PLBD2	Q8NHP8	Putative phospholipase B-like 2;Putative phospholipase B-like 2 32 kDa form;Putative phospholipase B-like 2 45 kDa form	PLBD2
Q8NHU6	Tudor domain-containing protein 7	TDRD7	Q8NHU6;Q8NHU6-2;Q8NHU6-3	Tudor domain-containing protein 7	TDRD7
Q8NHV1	GTPase IMAP family member 7	GIMAP7	Q8NHV1	GTPase IMAP family member 7	GIMAP7
Q8NHZ8	Anaphase-promoting complex subunit CDC26	CDC26	Q8NHZ8	Anaphase-promoting complex subunit CDC26	CDC26
Q8NI22	Multiple coagulation factor deficiency protein 2	MCFD2	Q8NI22;Q8NI22-3;H7BZ18;A0A3B3IU18	Multiple coagulation factor deficiency protein 2	MCFD2
Q8NI22-2	Multiple coagulation factor deficiency protein 2	MCFD2	Q8NI22-2	Multiple coagulation factor deficiency protein 2	MCFD2
Q8NI27	THO complex subunit 2	THOC2	Q8NI27;A0A0C4DG98;H0Y815;F2Z2V2;B7ZBA0;H0Y594;H0Y7U4;Q8NI27-2;H7C477	THO complex subunit 2	THOC2
Q8NI37	Protein phosphatase PTC7 homolog	PPTC7	Q8NI37	Protein phosphatase PTC7 homolog	PPTC7
Q8NI60	Atypical kinase ADCK3, mitochondrial	ADCK3	Q8NI60;Q8NI60-3;Q8NI60-4;Q8NI60-2	Atypical kinase ADCK3, mitochondrial	ADCK3
Q8NI99	Angiopoietin-related protein 6	ANGPTL6	Q8NI99;K7EKF6	Angiopoietin-related protein 6	ANGPTL6
Q8TAC2-2	Josephin-2	JOSD2	Q8TAC2-2;Q8TAC2	Josephin-2	JOSD2
Q8TAD4	Zinc transporter 5	SLC30A5	Q8TAD4;Q9BY48;H0Y957;Q8TAD4-2	Zinc transporter 5	SLC30A5
Q8TAE8	Growth arrest and DNA damage-inducible proteins-interacting protein 1	GADD45GIP1	Q8TAE8	Growth arrest and DNA damage-inducible proteins-interacting protein 1	GADD45GIP1
Q8TAF3	WD repeat-containing protein 48	WDR48	Q8TAF3;Q8TAF3-3;Q8TAF3-4;F8W9K4;F8W7Q3;F8W7Y5;F8W6P2;Q8TAF3-5;C9JC24;Q8TAF3-2	WD repeat-containing protein 48	WDR48
Q8TAQ2	SWI/SNF complex subunit SMARCC2	SMARCC2	Q8TAQ2;F8VXC8;Q8TAQ2-2;Q8TAQ2-3;F8VZW6	SWI/SNF complex subunit SMARCC2	SMARCC2
Q8TAT6	Nuclear protein localization protein 4 homolog	NPLOC4	Q8TAT6;Q8TAT6-2;I3L4U9;A0A0D9SFI9;I3L283;I3L3I1;I3L4S2;I3L281	Nuclear protein localization protein 4 homolog	NPLOC4
Q8TB03	Uncharacterized protein CXorf38	CXorf38	Q8TB03;Q8TB03-2	Uncharacterized protein CXorf38	CXorf38
Q8TB36	Ganglioside-induced differentiation-associated protein 1	GDAP1	Q8TB36;Q8TB36-2;E5RGI2	Ganglioside-induced differentiation-associated protein 1	GDAP1
Q8TB37	Iron-sulfur protein NUBPL	NUBPL	Q8TB37;F8W061;F8W0A2;Q8TB37-2;H0YHR7;F8VP02;F8VZR8	Iron-sulfur protein NUBPL	NUBPL
Q8TB40	Abhydrolase domain-containing protein 4	ABHD4	Q8TB40;F5H6T0;Q8TB40-2;F5GZC9;H0YFD5;F5H067	Abhydrolase domain-containing protein 4	ABHD4
Q8TB45	DEP domain-containing mTOR-interacting protein	DEPTOR	Q8TB45;Q8TB45-2	DEP domain-containing mTOR-interacting protein	DEPTOR
Q8TB61-3	Adenosine 3-phospho 5-phosphosulfate transporter 1	SLC35B2	Q8TB61-3;Q8TB61-2;Q8TB61;Q8TB61-5;Q8TB61-4	Adenosine 3-phospho 5-phosphosulfate transporter 1	SLC35B2
Q8TB72-2	Pumilio homolog 2	PUM2	Q8TB72-2;Q8TB72-3;Q8TB72;A0A0C4DG68;A0A0A0MR59;Q8TB72-4;C9JE24;C9JW01	Pumilio homolog 2	PUM2
Q8TB96	T-cell immunomodulatory protein	ITFG1	Q8TB96;F5GXC5;H3BUJ1	T-cell immunomodulatory protein	ITFG1
Q8TBA6	Golgin subfamily A member 5	GOLGA5	Q8TBA6;Q8TBA6-2;H0YK03	Golgin subfamily A member 5	GOLGA5
Q8TBB5	Kelch domain-containing protein 4	KLHDC4	Q8TBB5;Q8TBB5-2;Q8TBB5-3;H3BQH3;Q9UF94;H3BV82	Kelch domain-containing protein 4	KLHDC4
Q8TBC4	NEDD8-activating enzyme E1 catalytic subunit	UBA3	Q8TBC4;Q8TBC4-2;F8W8D4;F8WF86	NEDD8-activating enzyme E1 catalytic subunit	UBA3
Q8TBP6	Solute carrier family 25 member 40	SLC25A40	Q8TBP6	Solute carrier family 25 member 40	SLC25A40
Q8TBQ9	Protein kish-A	TMEM167A	Q8TBQ9	Protein kish-A	TMEM167A
Q8TBX8	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	PIP4K2C	Q8TBX8;Q8TBX8-3;Q8TBX8-2;F8VNT5;F8VU68;H0YIJ6	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	PIP4K2C
Q8TC07-2	TBC1 domain family member 15	TBC1D15	Q8TC07-2;Q8TC07;Q8TC07-3;C9JA93;F8VV61;F8WCB5;F8WDJ1;F8WF35	TBC1 domain family member 15	TBC1D15
Q8TC12	Retinol dehydrogenase 11	RDH11	Q8TC12;Q8TC12-2;Q8TC12-3;G3V2G6;H0YJ46;H0YIZ8;Q96NR8	Retinol dehydrogenase 11	RDH11
Q8TC26	Transmembrane protein 163	TMEM163	Q8TC26	Transmembrane protein 163	TMEM163
X6RK58	Leucine-rich repeat-containing protein 20	LRRC20	X6RK58;Q8TCA0;A0A0A0MS58;Q8TCA0-3;Q8TCA0-2	Leucine-rich repeat-containing protein 20	LRRC20
Q8TCB0	Interferon-induced protein 44	IFI44	Q8TCB0;C9JUM8;H7C1F3;Q8TCB0-2	Interferon-induced protein 44	IFI44
Q8TCC3	39S ribosomal protein L30, mitochondrial	MRPL30	Q8TCC3;Q8TCC3-2;Q8TCC3-3;B8ZZV5	39S ribosomal protein L30, mitochondrial	MRPL30
Q8TCD5	5(3)-deoxyribonucleotidase, cytosolic type	NT5C	Q8TCD5;J3KSY6;J3KSX6;J3KRC4;Q8TCD5-2;J3KSF0	5(3)-deoxyribonucleotidase, cytosolic type	NT5C
Q8TCE6-2	Protein FAM45A	FAM45A	Q8TCE6-2;Q8TCE6;Q6NSW5;A0A3B3IRE4	Protein FAM45A;Protein FAM45B	FAM45A;FAM45B
Q8TCF1	AN1-type zinc finger protein 1	ZFAND1	Q8TCF1;Q8TCF1-2;Q8TCF1-4;E5RK75;E5RJ74;E5RGE5;E5RI74	AN1-type zinc finger protein 1	ZFAND1
Q8TCJ2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	STT3B	Q8TCJ2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	STT3B
Q8TCS8	Polyribonucleotide nucleotidyltransferase 1, mitochondrial	PNPT1	Q8TCS8;H7C3C5;H7BXF6;F8WBI3	Polyribonucleotide nucleotidyltransferase 1, mitochondrial	PNPT1
Q8TCT8	Signal peptide peptidase-like 2A	SPPL2A	Q8TCT8;H0YNA7;H0YNA2	Signal peptide peptidase-like 2A	SPPL2A
Q8TCU6	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein	PREX1	Q8TCU6;Q8TCU6-3;Q8TCU6-2;H0YDZ4	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein	PREX1
Q8TD16-2	Protein bicaudal D homolog 2	BICD2	Q8TD16-2;Q8TD16;U3KQF7	Protein bicaudal D homolog 2	BICD2
Q8TD19	Serine/threonine-protein kinase Nek9	NEK9	Q8TD19;G3V459;G3V5V0;G3V2Z5;REV__Q5SQT3;REV__Q9P0M6	Serine/threonine-protein kinase Nek9	NEK9
Q8TD22	Sideroflexin-5	SFXN5	Q8TD22;B8ZZJ6;C9JIV5;H7C1S9;F8WBH6	Sideroflexin-5	SFXN5
Q8TD30	Alanine aminotransferase 2	GPT2	Q8TD30;Q8TD30-2;H3BU54	Alanine aminotransferase 2	GPT2
Q8TD55	Pleckstrin homology domain-containing family O member 2	PLEKHO2	Q8TD55;Q8TD55-2;C9J4A7	Pleckstrin homology domain-containing family O member 2	PLEKHO2
Q8TDB6	E3 ubiquitin-protein ligase DTX3L	DTX3L	Q8TDB6;Q8TDB6-2	E3 ubiquitin-protein ligase DTX3L	DTX3L
Q8TDD1-2	ATP-dependent RNA helicase DDX54	DDX54	Q8TDD1-2;Q8TDD1;F8VRX4;H0YHH7;H0YHZ9	ATP-dependent RNA helicase DDX54	DDX54
Q8TDH9	Biogenesis of lysosome-related organelles complex 1 subunit 5	BLOC1S5	Q8TDH9;H3BN57;Q8TDH9-3;G5E931;Q8TDH9-2;A0A0D9SEU2;A0A0A0MTN6	Biogenesis of lysosome-related organelles complex 1 subunit 5	BLOC1S5;BLOC1S5-TXNDC5
Q8TDJ6-3	DmX-like protein 2	DMXL2	Q8TDJ6-3;Q8TDJ6;Q8TDJ6-2	DmX-like protein 2	DMXL2
Q8TDN6	Ribosome biogenesis protein BRX1 homolog	BRIX1	Q8TDN6	Ribosome biogenesis protein BRX1 homolog	BRIX1
Q8TDQ7	Glucosamine-6-phosphate isomerase 2	GNPDA2	Q8TDQ7;Q8TDQ7-2;Q8TDQ7-3;Q8TDQ7-5;Q8TDQ7-4	Glucosamine-6-phosphate isomerase 2	GNPDA2
Q8TDW0	Volume-regulated anion channel subunit LRRC8C	LRRC8C	Q8TDW0;M0R3C1;M0QZ48	Volume-regulated anion channel subunit LRRC8C	LRRC8C
Q8TDX5	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase	ACMSD	Q8TDX5;Q8TDX5-2	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase	ACMSD
Q8TDX6	Chondroitin sulfate N-acetylgalactosaminyltransferase 1	CSGALNACT1	Q8TDX6;Q8TDX6-2;Q8TDX6-3	Chondroitin sulfate N-acetylgalactosaminyltransferase 1	CSGALNACT1
Q8TDX7	Serine/threonine-protein kinase Nek7	NEK7	Q8TDX7;F8WAG2;Q8TDX7-2;F5H3U7	Serine/threonine-protein kinase Nek7	NEK7
Q8TDZ2	Protein-methionine sulfoxide oxidase MICAL1	MICAL1	Q8TDZ2;Q8TDZ2-4;Q8TDZ2-2;Q5TED7;Q8TDZ2-3;H0Y6Z4	Protein-methionine sulfoxide oxidase MICAL1	MICAL1
Q8TE04-3	Pantothenate kinase 1	PANK1	Q8TE04-3;Q8TE04-2;Q8TE04-4;Q8TE04;V9GYZ0	Pantothenate kinase 1	PANK1
